时间,国内生产总值(亿元),居民消费水平(元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),批发和零售业增加值(亿元),交通运输、仓储和邮政业增加值(亿元),住宿和餐饮业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元)
2024年,1349083.5,38230,96612.9,405442.1,89949.3,137980.9,59232.2,24728.8,98544.2,84565.2
2023年,1294271.7,36302,93967,392183,86640.6,130809.7,56438.3,23084.2,93926.9,87981.5
2022年,1234029.4,33012,92576.8,388651.6,81439.8,122177.5,50967.7,19146.2,88051.5,88015.2
2021年,1173823,31893,86994.8,369903.7,79269.8,114358,48439,19064.4,86409.2,90397.5
2020年,1034867.6,27992,81396.5,311231.2,72751.2,98569.1,40712.1,15855.5,81159,85533.9
2019年,1005872.4,28118,73576.9,311011.2,70789.8,96864.9,42611.1,18249.2,75113.7,83320.7
2018年,936010.1,25986,67558.7,301089.3,65493,88903.7,40631.6,16520.6,70610.3,77632.9
2017年,847382.9,23642,64660,275119.3,57905.6,81156.6,37383.7,15056,64844.3,69257.1
2016年,761193,21480,62451,245406.4,51498.9,73724.5,33259.8,13607.8,59964,62066.4
2015年,702511.5,19377,59852.6,234968.9,47761.3,67719.6,30737.9,12306.1,56299.8,53732.3
2014年,655782.9,17680,57472.2,233197.4,45401.7,63170.4,28745.3,11228.7,46853.4,47971.6
2013年,603660.4,15998,54692.4,222333.2,40896.8,56288.9,26239.7,10228.3,41293.4,43962.5
2012年,547510.6,14438,50581.2,208901.4,36896.1,49835.5,23948.1,9536.9,35272.2,37761.4
2011年,495707.6,12991,46122.6,195139.1,32926.5,43734.5,22014,8565.4,30747.2,33712.7
2010年,419253.3,10845,39619,165123.1,27259.3,35907.9,18951.2,7712,25733.1,28668.7
2009年,354521.6,9475,34659.7,138092.6,22681.5,29004.6,16671.9,6957,21836.8,23227.1
2008年,324317.8,8702,33428.1,131724,18807.6,26186.2,16511.5,6616.1,18345.6,18449.5
2007年,274179.7,7618,28483.7,111690.8,15348,20941.1,14726.8,5548.1,15200,16808.9
2006年,222578.4,6452,24036.4,92235.8,12450.1,16533.4,12294.4,4792.6,9972.3,12622.6
2005年,189907.5,5799,22416.2,77958.3,10400.5,13968.5,10768.7,4195.7,7486,10341.9
2004年,164228,5163,21410.7,65774.9,8720.5,12455.8,9387.4,3664.8,6600.2,8941.8
2003年,139377.3,4631,17380.6,55362.2,7510.8,11171.2,7983.6,3126.1,6045.7,7605.3
2002年,123311.9,4332,16535.7,47774.9,6482.1,9996.8,7559.5,2724.8,5555.8,6484.2
2001年,112157.3,4018,15780,43854.3,5945.5,9120.8,6931.1,2400.1,5202.8,5616.9
2000年,101308.6,3751,14943.6,40258.5,5534,8159.8,6215.5,2146.3,4842.2,4849.3
1999年,91378.9,3372,14768.7,36014.4,5180.9,7492.2,5220.9,1941.2,4489.7,4221.9
1998年,85863.9,3148,14816.4,34133.9,4993,6914.3,4702,1786.9,4318.2,3866.5
1997年,80225,2996,14440.8,33022.6,4628.3,6328.4,4185.2,1561.3,4179.2,3231.3
1996年,72210.6,2781,14014.7,29528.9,4393,5600.5,3815.5,1336.8,3700.7,2850.2
1995年,61649.4,2342,12135.1,25023.2,3733.7,4779.4,3272.9,1200.1,3211.5,2527.4
1994年,48862.2,1807,9572.1,19546.3,2968.8,3774,2812.5,1008.5,2557.9,2024.3
1993年,35819.7,1336,6963.3,14248.4,2269.9,2817,2193.2,712.1,1903.5,1446.7
1992年,27295.6,1059,5866.2,10340.2,1417.9,2405.4,1703.9,584.6,1482.1,1144.1
1991年,22070.9,917,5341.9,8137.9,1017.7,1834.8,1432.9,442.3,1195.2,782.2
1990年,18909.6,831,5061.8,6904.5,861.7,1269.2,1177.4,301.9,1144.1,660.9
1989年,17210,785,4265.8,6525.5,796.1,1536.4,820,277.4,1079.9,565.1
1988年,15206.4,684,3865.2,5814,811.8,1483.6,691.8,241.4,658.9,472.8
1987年,12196.1,558,3232.9,4621.1,667.5,1059.7,573.4,187.1,506.2,381.9
1986年,10395.2,496,2788.6,4000.7,527.3,852.7,503.3,163.2,401.2,297.5
1985年,9115.9,440,2564.3,3478.2,419.3,802.5,425.5,138.3,293.9,214.8
1984年,7292.4,356,2316,2815.8,317.9,363.6,341.6,96.8,230.6,162
1983年,6032.5,315,1978.3,2399,271.7,198.7,277.4,72.5,168.9,121.6
1982年,5383.6,284,1777.3,2183,221.6,171.5,249.1,62.3,130.6,110.6
1981年,4944.7,264,1559.4,2067.7,208,231.2,222.7,54.1,91.7,99.8
1980年,4595.7,238,1371.6,2014.8,196.3,193.8,215.3,47.4,85.8,96.2
1979年,4107.2,208,1270.2,1786.5,144.6,200.9,195.4,44,75.9,86.2
1978年,3684.8,184,1027.5,1621.4,138.9,242.4,183.6,44.6,76.5,79.7
1977年,3255.4,175,950.5,1384.9,137.3,195.2,166.7,37.5,68.8,73.4
1976年,2993.6,171,975.6,1216.7,133.1,134.4,148.4,30,62.2,69
1975年,3044.3,167,979.8,1256.6,126.1,160.2,149.7,31.2,61.2,64.6
,,,,,,,,,,
